userId,movieId,rating
216,3160,0.6
467,1408,0.6
416,2762,0.5
503,93272,0.5
217,393,0.2
284,357,0.8
272,589,0.7
600,2915,0.6
380,122918,1.0
596,2985,0.6
168,111,0.9
91,3698,0.8
307,2193,0.4
475,53121,0.7
267,1197,1.0
580,5617,0.9
19,173,0.2
474,3868,0.6
27,1588,0.4
372,16,0.8
249,65088,0.6
489,370,0.1
283,1704,1.0
571,1350,1.0
387,3504,0.9
286,2762,1.0
135,1876,0.4
573,4011,0.9
181,350,0.8
232,5507,0.6
534,231,0.6
563,7444,0.7
89,58998,0.6
166,1562,0.5
125,71057,0.8
86,5445,0.8
56,292,0.8
288,616,0.6
303,3527,1.0
514,4291,0.4
474,892,0.6
495,8917,1.0
42,2105,0.4
462,1230,0.9
68,7151,0.6
525,7346,0.8
19,3203,0.4
448,671,1.0
135,2746,0.8
135,2002,0.6
387,1690,0.6
122,3911,1.0
282,6807,0.9
437,1293,1.0
6,410,0.6
603,4021,1.0
274,5810,0.7
587,1747,0.2
420,4973,0.7
313,2167,1.0
292,1035,0.8
41,2324,0.8
294,3690,0.6
380,4887,0.8
577,1615,0.6
79,3984,0.8
462,3007,0.7
564,7317,0.8
579,3176,1.0
452,1258,0.8
249,111,0.9
380,786,0.6
534,53519,0.8
380,8361,0.6
137,3507,0.8
298,47122,0.1
307,3826,0.1
288,1674,0.8
221,1212,1.0
232,52722,0.6
180,1321,0.5
610,60072,0.4
479,3504,0.8
410,2915,1.0
186,2009,0.8
274,51412,0.7
216,909,0.8
387,1104,0.8
424,223,0.7
134,364,0.6
288,1682,0.8
284,173,0.8
414,745,1.0
391,1912,0.4
553,27831,0.8
156,2692,1.0
608,4161,0.7
525,4015,0.4
165,3256,0.8
1,3147,1.0
414,54286,0.8
72,2858,0.9
600,8376,0.6
414,1059,0.8
307,1617,0.7
416,4967,0.8
380,3635,1.0
6,415,0.8
286,3481,0.6
298,30825,0.4
474,920,0.4
509,231,0.5
126,410,0.4
308,110,0.2
387,4799,0.5
128,1193,0.6
307,44840,0.4
610,5026,0.9
489,52952,0.7
200,6377,0.8
469,32,1.0
232,3988,0.5
445,5618,0.9
479,4643,0.4
562,296,1.0
111,65216,0.7
298,4306,0.4
33,529,0.8
105,36401,0.6
555,708,0.8
312,1333,0.8
151,1265,1.0
479,5568,0.4
298,91094,0.2
427,5254,0.5
600,1127,0.7
274,69,0.8
414,45,0.6
36,996,0.5
587,2918,0.8
608,32587,1.0
599,2145,0.6
604,724,0.6
570,1704,0.7
599,47423,0.6
323,588,0.8
1,2872,1.0
558,1043,0.4
586,120635,1.0
354,35836,0.7
307,27772,0.4
510,31427,0.2
414,1037,0.6
217,3296,0.6
384,3219,0.8
100,592,0.8
91,1278,0.9
490,87232,0.7
282,4085,0.8
